trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
50,False,"{'a': 0.4, 'e': 0.36416968008711675}",20,0,15.71717702788037,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.4, 'e': 0.3568862864853744}",20,15,10.24450020442129,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.4, 'e': 0.3497485607556669}",20,15,10.938437400550704,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.4, 'e': 0.34275358954055357}",25,6,-17.679181819046274,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
54,False,"{'a': 0.4, 'e': 0.3358985177497425}",25,0,-15.690481098907519,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
55,False,"{'a': 0.4, 'e': 0.3291805473947476}",25,15,11.098887544565759,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.4, 'e': 0.32259693644685267}",20,0,-124.42331924208949,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
57,False,"{'a': 0.4, 'e': 0.3161449977179156}",25,0,-57.53098554778519,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
58,False,"{'a': 0.4, 'e': 0.3098220977635573}",25,0,-98.53550662518106,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
59,False,"{'a': 0.4, 'e': 0.30362565580828615}",25,0,-81.25544995162875,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
60,False,"{'a': 0.4, 'e': 0.2975531426921204}",20,3,-16.01159934753929,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
61,False,"{'a': 0.4, 'e': 0.291602079838278}",25,15,5.63641624788683,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.4, 'e': 0.2857700382415124}",20,14,8.7958274675291,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.4, 'e': 0.2800546374766822}",20,12,14.852564672108686,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.4, 'e': 0.2744535447271485}",20,15,6.817251846793399,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.4, 'e': 0.2689644738326056}",25,0,-21.099182412477955,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
66,False,"{'a': 0.4, 'e': 0.26358518435595346}",20,16,7.3322023756645285,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.4, 'e': 0.25831348066883436}",30,17,24.846499900575527,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.4, 'e': 0.2531472110554577}",30,0,-114.9065957137461,"{0: 23, 1: 0, 2: 3, 3: 2, 4: 2}",1
69,False,"{'a': 0.4, 'e': 0.2480842668343485}",30,3,-10.377838445672047,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.4, 'e': 0.24312258149766153}",20,0,20.406128443063675,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.4, 'e': 0.2382601298677083}",35,10,-10.490493581667243,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",1
72,False,"{'a': 0.4, 'e': 0.23349492727035415}",20,1,7.31138971112542,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.4, 'e': 0.22882502872494706}",25,17,14.127681137431638,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.4, 'e': 0.2242485281504481}",25,12,-15.82125008808718,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
75,False,"{'a': 0.4, 'e': 0.21976355758743912}",35,16,-13.129665265861302,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
76,False,"{'a': 0.4, 'e': 0.21536828643569034}",25,17,14.669458868113495,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.4, 'e': 0.21106092070697655}",20,6,-18.45842533051754,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
78,False,"{'a': 0.4, 'e': 0.206839702292837}",25,10,16.90498573738981,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.4, 'e': 0.20270290824698026}",20,16,9.560325872382126,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.4, 'e': 0.19864885008204064}",20,3,11.712047491561522,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.4, 'e': 0.19467587308039982}",20,7,14.032932791894396,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.4, 'e': 0.19078235561879184}",25,10,-28.733761506492616,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
83,False,"{'a': 0.4, 'e': 0.186966708506416}",30,11,-15.044419489759685,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
84,False,"{'a': 0.4, 'e': 0.18322737433628766}",20,3,24.225007391017705,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.4, 'e': 0.1795628268495619}",20,0,16.276481566902987,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
